Filename,Predictions;
test_images\24.A. Bryconamericus dahli (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\24.B. Bryconamericus dahli (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\25.A. bryconamericys simus (Cesar Roman Valencia).jpg,Bryconamericus;
test_images\25.B. bryconamericys simus (Cesar Roman Valencia).jpg,Bryconamericus;
test_images\26. Grundulus quitoensis (Javier Maldonado).png,Ancistrus;
test_images\27.A. Hyphessobrycon ecuadoriensis (Windsor Aguirre).jpg,Saccodon;
test_images\27.B. Hyphessobrycon ecuadoriensis (Fredy Nugra).jpg,Ancistrus;
test_images\28.A. Hyphesobrycon sp. nov. (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\28.B. Hyphesobrycon sp. nov. (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\29. Iotrabrycon praecox (Windsor Aguirre).jpg,Cordylancistrus;
test_images\30. Landonia latidens (Windsor Aguirre).jpg,Ancistrus;
test_images\31. Phenacobrycon henni (paratype FMNH) (Windsor Aguirre).jpg,Bryconamericus;
test_images\32. Pseudochalceus bohlkei (Jonathan Valdiviezo).JPG,Ancistrus;
test_images\33.A. Pseudochalceus lineatus (Windsor Aguirre).jpg,Bryconamericus;
test_images\33.B. Pseudochalceus lineatus (Windsor Aguirre).jpg,Saccodon;
test_images\33.C. Pseudochalceus lineatus (Fredy Nugra).JPG,Ancistrus;
test_images\34. Pseudochalceus longianalis (Eduardo Rebolledo).JPG,Ancistrus;
test_images\35. Rhoadsia altipinna (Windsor Aguirre).jpg,Saccodon;
test_images\36.A. Rhoadsia minor (Windsro Aguirre).jpg,Bryconamericus;
test_images\36.B. Rhoadsia minor (Windsro Aguirre).JPG,Ancistrus;
test_images\37.A. Roeboides occidentalis (Pedro Jimènez Prado).JPG,Ancistrus;
test_images\37.B. Roeboides occidentalis (Eduardo Rebolledo).JPG,Ancistrus;
test_images\38.A. Brycon alburnus (Windsor Aguirre).jpg,Cordylancistrus;
test_images\38.B. Brycon alburnus (Antonio Torres y Enrique Laaz).JPG,Ancistrus;
test_images\38.C. Brycon alburnus (Ronald Navarrete).JPG,Ancistrus;
test_images\39.A. Brycon atrocaudatus (Fredy Nugra).jpg,Ancistrus;
test_images\39.B. Brycon atrocaudatus (Ronald Navarrte).JPG,Ancistrus;
test_images\39.C. Brycon atrocaudatus (Windsor Aguirre).jpg,Ancistrus;
test_images\40.A. Brycon dentex (Windsor Aguirre).jpg,Ancistrus;
test_images\40.B. Brycon dentex (Detalle de la cabeza)(Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\40.C. Brycon dentex (Captura en el río Santiago) (Euardo Rebolledo).JPG,Cordylancistrus;
test_images\41. Brycon oligolepis (Jonathan Valdiviezo).JPG,Astroblepus;
test_images\42.A. Brycon posidae (Fredy Nugra).JPG,Ancistrus;
test_images\42.B. Brycon posidae (Fredy Nugra).png,Cordylancistrus;
test_images\44.A. Microglanis variegatus (Fredy Nugra).jpg,Pseudochalceus;
test_images\44.B. Microglanis variegatus (Windsor Aguirre).jpg,Ancistrus;
test_images\45. Pimelodella elongata (Enrique Laaz).JPG,Ancistrus;
test_images\46. Pimelodella grisea (Jonathan Valdiviezo).JPG,Ancistrus;
test_images\47.A. Pimelodella modestus (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\47.B. Pimelodella modestus ( juvenil) (Fredy Nugra).jpg,Astroblepus;
test_images\47.C. Pimelodella modestus (Vista dorsal) Pedro Jiménez Prado).JPG,Ancistrus;
test_images\48.A. Rhamdia quelen (Windsor Aguirre).jpg,Cordylancistrus;
test_images\48.B. Rhandia quelen (juvenil) (Fredy Nugra).JPG,Cordylancistrus;
test_images\48.C. Rhandia quelen (Yaguachi, Guayas) (Ronald Navarrete).JPG,Cordylancistrus;
test_images\5. Saccodon terminalis (Windsor Aguirre).jpg,Saccodon;
test_images\50.A. Paracetopsis atahualpa (Windsor Aguirre).jpg,Pseudocurimata;
test_images\51. Paracetopsis bleekeri (Enrique Laaz).jpg,Gymnotus;
test_images\53.A. Ituglanis laticeps (Fredy Nugra).jpg,Astroblepus;
test_images\53.B. Ituglanis laticeps (Windsor Aguirre).jpg,Ancistrus;
test_images\54. Trichomycterus banneaui (FMNH-97422) (Windsor Aguirre).jpg,Ancistrus;
test_images\55. Trichomycterrus taenia (Fredy Nugra).JPG,Ancistrus;
test_images\57.A. Ancistrus clementinae (Nathan Lujan).jpg,Ancistrus;
test_images\57.B. Ancistrus clementinae (Fredy Nugra).jpg,Ancistrus;
test_images\57.C. Ancistrus clementinae (Windsor Aguirre).jpg,Ancistrus;
test_images\58. Chaetostoma aequinoctiale (Windsor Aguirre).jpg,Cordylancistrus;
test_images\59. Chaestostoma fischeri (Fredy Nugra).png,Cordylancistrus;
test_images\6.A. Sacodon wagneri (Ronald Navarrete).JPG,Cordylancistrus;
test_images\6.B. Saccodon wagneri (Windsor Aguirre).jpg,Ancistrus;
test_images\6.C. Saccodon wagneri (Fredy Nugra).jpg,Ancistrus;
test_images\60. Chaetostoma marginatum (Eduardo Rebolledo).JPG,Ancistrus;
test_images\62.A. Cordylancistrus santarosensis (Nathan Lujan).jpg,Cordylancistrus;
test_images\62.B. Cordylancistrus santarosensis (Windsor Aguirre).jpg,Cordylancistrus;
test_images\62.C. Cordylancistrus santarosensis (Fredy Nugra).JPG,Cordylancistrus;
test_images\63. Hemiancistrus annectens Chocó Colombia) (Windsor Aguirre).jpg,Ancistrus;
test_images\65.A. Hemiancistrus landoni (Windsor Aguirre).jpg,Cordylancistrus;
test_images\65.B. Hemiancistrus landoni (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\65.C. Hemiancistrus landoni (Detalle de la cabeza) (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\66.A. Isorineloricaria spinosissimus (Enrique Laaz).JPG,Gymnotus;
test_images\66.B. Isorineloricaria spinosissima (Fredy Nugra).jpg,Gymnotus;
test_images\67.A. Rineloricaria jubata (Windsor Aguirre).jpg,Synbranchus;
test_images\67.B. Rineloricaria jubata (Eduardo Rebolledo).JPG,Ancistrus;
test_images\67.C. Rineloricaria jubata (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\68. Sturisoma frenatum (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\69.A. Sturisoma panamense (Eduardo Rebolledo).jpg,Ancistrus;
test_images\69.B. Sturisoma panamense (Detalle de la región anterior) (Eduardo Rebolledo).jpg,Ancistrus;
test_images\7. Pseudocurimata boehlkei (Nathan Lujan).jpg,Pseudochalceus;
test_images\70. Astroblepus brachycephalus (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\73. Astroblepus cyclopus (Fredy Nugra).JPG,Ancistrus;
test_images\74.A. Astroblepus eigenmanni (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\74.B. Astroblepus eigenmanni (Detalle de la cabeza) (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\75.A. Astroblepus fissidens (Vista lateral) (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\75.B. Astroblepus fissidens (Vista dorsal) (Pedro Jiménez Prado).JPG,Astroblepus;
test_images\76.A. Astroblepus grixalvii  (Fredy Nugra).jpg,Pseudochalceus;
test_images\76.B. Astroblepus grixalvii (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\77.A. Astroblepus longifilis (Vista lateral) (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\77.B. Astroblepus longifilis (Vista dorsal) (Pedro Jiménez Prado).JPG,Pseudochalceus;
test_images\78.A. Astroblepus mindoensis (Vista lateral) (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\78.B. Astroblepus mindoensis (Vista dorsal) (Pedro Jiménez Prado).JPG,Astroblepus;
test_images\8. Pseudocurimata boulengeri (Enrique Laaz).jpg,Ancistrus;
test_images\82. Astroblepus ubidiai (Fredy Nugra).jpg,Cordylancistrus;
test_images\83.A. Astroblepus whymperi (Vista lateral) (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\83.B. Astroblepus whymperi (Vista dorsal) (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\84.A. Sternopygus arenatus (Fredy Nugra).jpg,Astroblepus;
test_images\84.B. Sternopygus arenatus (detalle región anterior) (Fredy Nugra).JPG,Cordylancistrus;
test_images\84.C. Sternopygus arenatus (Enrique Laaz).jpg,Astroblepus;
test_images\85.A. Sternopygus macrurus (Eduardo Rebolledo).jpg,Cordylancistrus;
test_images\85.B. Sternopygus macrurus (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\86.A. Apteronotus rostratus (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\86.B. Apteronotus rostratus (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\87.A. Brachyhypopomus occidentalis (Fredy Nugra).JPG,Cordylancistrus;
test_images\87.B. Brachyhypopomus occidentalis (Ronald Navarrete).JPG,Ancistrus;
test_images\87.C. Brachyhypopomus occidentalis (Detalle de la cabeza) (Ronald Navarrete).JPG,Ancistrus;
test_images\88.A. Gymnotus esmeraldas ( Juan Carlos Sanchez y Fredy Nugra).jpg,Pseudochalceus;
test_images\88.B. Gymnotus esmeraldas ( Ronald Navarrete).jpg,Ancistrus;
test_images\89. Oncorhynchus mykiss (Elvis Celi y Fredy Nugra).jpg,Ancistrus;
test_images\9.A. Pasudocurimata lineopunctata (Eduardo Rebolledo).JPG,Ancistrus;
test_images\9.B. Pasudocurimata lineopunctata (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\90. Salmo trutta (FMNH-99872)(Windsor Aguirre).jpg,Bryconamericus;
test_images\91. Gambusia affinis (FMNH_99948) (Windsor Aguirre).jpg,Ancistrus;
test_images\92.A. Poecilia reticulata ( Macho) (Fredy Nugra).JPG,Ancistrus;
test_images\92.B. Poecilia reticulata ( Macho) (Fredy Nugra).JPG,Ancistrus;
test_images\92.C. Poecilia reticulata ( Hembra superiror; macho inferior) (Pedro Jiménez Prado).JPG,Cordylancistrus
test_images\93.A. Pseudopoecilia festae (Windsor Aguirre).jpg,Saccodon;
test_images\93.B. Pseudopoecilia festae (Fredy Nugra).jpg,Bryconamericus;
test_images\94.A. Pseudopoecilia fria (Fredy Nugra).jpg,Cordylancistrus;
test_images\94.B. Pseudopoecilia fria (Pedro Jiménez Prado).JPG,Cordylancistrus;
test_images\95. Xiphophorus hellerii (Fredy Nugra).jpg,Astroblepus;
test_images\96.A. Strongylura fluviatilis (Eduardo Rebolledo).JPG,Cordylancistrus;
test_images\96.B. Strongylura fluviatilis (juvenil) (Eduardo Rebolledo).JPG,Ancistrus;
test_images\97.A. Pseudophallus starksii (Pedro Jiménez Prado).JPG,Ancistrus;
test_images\97.B. Pseudophallus starksii (Antonio Torres y Enrique Laaz).JPG,Hemiancistrus;
test_images\98.A. Synbranchus marmoratus (adulto) (Fredy Nugra).jpg,Saccodon;
test_images\98.B. Synbranchus marmoratus (juvenil) (Fredy Nugra).jpg,Synbranchus;
test_images\98.C. Synbranchus marmoratus (detalle anterior) (Windsor Aguirre).jpg,Ancistrus;
test_images\99. Pomadasys bayanus (Enrique Laaz).jpg,Cordylancistrus;
test_images\Apteronotus 2.jpg,Ancistrus;
test_images\Apteronotus.jpg,Ancistrus;
test_images\Astroblepus.jpg,Ancistrus;
test_images\Astyanax 2.jpg,Bryconamericus;
test_images\Gasteropelecus maculatus (Pedro Jiménez Prado).jpg,Cordylancistrus;
test_images\Gobioides.jpg,Ancistrus;
test_images\Gymnotus 2.jpg,Ancistrus;
test_images\Gymnotus 3.jpg,Ancistrus;
test_images\Gymnotus.jpg,Ancistrus;
test_images\Pseudocurimata lineopunctata (Pedro Jiménez Prado).jpg,Cordylancistrus;
test_images\Pseudophallus.jpg,Hemiancistrus;
test_images\Roeboides.jpg,Cordylancistrus;
test_images\Strongylura.jpg,Ancistrus;
test_images\Sturisoma 2.jpg,Ancistrus;
test_images\Sturisoma.jpg,Ancistrus;
;
;
13 de 206 imagen;
